Date;Price;Vol.;Change %
11/9/2020;270;20.63M;4.13%
11/6/2020;259.3;15.12M;-0.04%
11/5/2020;259.41;18.97M;2.53%
11/4/2020;253;12.99M;1.04%
11/3/2020;250.4;16.54M;1.91%
11/2/2020;245.7;15.73M;0.55%
10/30/2020;244.35;23.95M;-2.26%
10/29/2020;250;34.96M;4.18%
10/28/2020;239.98;17.08M;2.78%
10/27/2020;233.5;14.30M;0.38%
10/26/2020;232.61;16.00M;-1.70%
10/23/2020;236.63;13.45M;-2.11%
10/22/2020;241.74;15.04M;-0.01%
10/21/2020;241.77;13.71M;0.33%
10/20/2020;240.98;18.00M;2.03%
10/19/2020;236.18;12.29M;-0.30%
10/16/2020;236.88;11.84M;-0.85%
10/15/2020;238.91;11.18M;-0.20%
10/14/2020;239.4;18.32M;-1.18%
10/13/2020;242.27;17.19M;0.22%
10/12/2020;241.75;32.46M;6.23%
10/9/2020;227.57;20.89M;2.97%
09/30/2020;221;16.23M;0.58%
09/29/2020;219.73;9.97M;-0.18%
09/28/2020;220.13;15.26M;1.35%
09/25/2020;217.2;11.25M;0.42%
09/24/2020;216.3;16.37M;-1.38%
09/23/2020;219.32;25.18M;-1.61%
09/22/2020;222.9;12.09M;-0.89%
09/21/2020;224.9;13.03M;-2.01%
09/18/2020;229.52;19.02M;3.09%
09/17/2020;222.65;22.80M;-1.49%
09/16/2020;226.02;18.45M;-1.87%
09/15/2020;230.33;12.04M;0.11%
09/14/2020;230.08;20.75M;0.97%
9/11/2020;227.88;20.47M;2.10%
9/10/2020;223.2;23.15M;2.86%
9/9/2020;217;22.71M;-2.22%
9/8/2020;221.93;35.71M;-2.19%
9/7/2020;226.89;23.62M;-1.45%
9/4/2020;230.22;37.09M;-3.53%
9/3/2020;238.64;27.57M;1.55%
9/2/2020;235;19.63M;-0.52%
9/1/2020;236.24;30.09M;-1.57%
08/31/2020;240;31.57M;-0.21%
08/28/2020;240.5;32.72M;1.02%
08/27/2020;238.08;21.35M;0.60%
08/26/2020;236.65;26.21M;0.45%
08/25/2020;235.6;28.55M;4.71%
08/24/2020;225;23.15M;3.02%
08/21/2020;218.4;15.73M;0.91%
08/20/2020;216.44;18.49M;-2.59%
08/19/2020;222.2;23.85M;0.74%
08/18/2020;220.57;19.04M;0.26%
08/17/2020;219.99;31.52M;3.33%
08/14/2020;212.9;24.43M;2.90%
08/13/2020;206.9;12.32M;0.21%
8/12/2020;206.47;18.02M;-1.21%
8/11/2020;209;25.01M;1.49%
